               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.021293,           0.0057127,                   0,             0.96558,             0.99427,             0.99124,             0.76846,            0.016654,           0.0032247,                   0,           0.0057628,           0.0057628,           0.0057628
                 109,            0.021824,           0.0055608,                   0,             0.97184,             0.98877,              0.9912,             0.73774,            0.018216,           0.0032612,                   0,           0.0057232,           0.0057232,           0.0057232
                 110,            0.021944,           0.0058453,                   0,             0.97735,             0.98914,             0.99156,             0.76179,            0.017342,           0.0032121,                   0,           0.0056836,           0.0056836,           0.0056836
                 111,            0.021317,           0.0052948,                   0,             0.97672,             0.98854,             0.99216,             0.76639,            0.016813,           0.0031898,                   0,            0.005644,            0.005644,            0.005644
                 112,            0.020664,           0.0053243,                   0,              0.9771,             0.98854,             0.99286,             0.70867,            0.020206,           0.0033238,                   0,           0.0056044,           0.0056044,           0.0056044
                 113,            0.021017,            0.005519,                   0,             0.98012,             0.98892,             0.99248,             0.74769,            0.018339,           0.0032448,                   0,           0.0055648,           0.0055648,           0.0055648
                 114,            0.020451,           0.0051316,                   0,             0.97894,             0.99713,             0.99418,             0.75922,            0.017879,           0.0031971,                   0,           0.0055252,           0.0055252,           0.0055252
                 115,             0.02219,            0.005335,                   0,             0.96865,             0.99427,             0.99248,              0.7758,            0.017067,           0.0031781,                   0,           0.0054856,           0.0054856,           0.0054856
                 116,            0.021107,           0.0053668,                   0,             0.97186,             0.98964,             0.99242,             0.77492,            0.016311,           0.0031166,                   0,            0.005446,            0.005446,            0.005446
                 117,            0.023351,            0.005568,                   0,             0.97464,             0.99091,             0.99153,             0.75582,            0.017312,           0.0031745,                   0,           0.0054064,           0.0054064,           0.0054064
                 118,            0.022414,           0.0058154,                   0,             0.97601,             0.98567,             0.99184,             0.77027,            0.016518,           0.0031444,                   0,           0.0053668,           0.0053668,           0.0053668
                 119,            0.020156,           0.0053845,                   0,             0.97732,             0.98771,              0.9916,             0.77599,            0.016649,           0.0031155,                   0,           0.0053272,           0.0053272,           0.0053272
                 120,            0.021108,           0.0054009,                   0,             0.97465,             0.99134,             0.99187,             0.78497,            0.016053,           0.0030916,                   0,           0.0052876,           0.0052876,           0.0052876
                 121,            0.020796,           0.0058897,                   0,             0.97471,             0.99395,             0.99188,             0.77635,            0.016566,           0.0030811,                   0,            0.005248,            0.005248,            0.005248
                 122,            0.020425,           0.0056079,                   0,              0.9747,             0.99427,             0.99168,             0.78667,            0.015942,           0.0030835,                   0,           0.0052084,           0.0052084,           0.0052084
                 123,            0.020805,           0.0054844,                   0,             0.97693,             0.99427,             0.99144,             0.78884,             0.01593,           0.0030775,                   0,           0.0051688,           0.0051688,           0.0051688
                 124,            0.020762,           0.0050142,                   0,             0.97739,             0.99078,             0.99231,             0.76467,            0.016624,           0.0031405,                   0,           0.0051292,           0.0051292,           0.0051292
                 125,            0.020076,           0.0054644,                   0,             0.97744,             0.99299,             0.99276,             0.77482,            0.016636,           0.0031445,                   0,           0.0050896,           0.0050896,           0.0050896
                 126,             0.01981,           0.0053719,                   0,             0.97744,             0.99427,             0.99301,             0.77357,            0.016978,           0.0030927,                   0,             0.00505,             0.00505,             0.00505
                 127,            0.020459,           0.0052845,                   0,             0.97671,             0.99427,             0.99238,             0.76787,            0.017038,           0.0031233,                   0,           0.0050104,           0.0050104,           0.0050104
                 128,            0.020348,           0.0053203,                   0,             0.98296,             0.99191,             0.99173,             0.78254,            0.015911,           0.0030939,                   0,           0.0049708,           0.0049708,           0.0049708
                 129,            0.019127,           0.0049426,                   0,              0.9794,             0.99427,             0.99194,             0.77942,            0.016112,           0.0030711,                   0,           0.0049312,           0.0049312,           0.0049312
                 130,            0.019252,           0.0054143,                   0,             0.98298,             0.99295,             0.99252,             0.79021,            0.015229,           0.0030456,                   0,           0.0048916,           0.0048916,           0.0048916
                 131,            0.020705,           0.0055188,                   0,             0.98573,             0.98984,             0.99366,             0.79116,            0.015135,             0.00302,                   0,            0.004852,            0.004852,            0.004852
                 132,            0.020341,           0.0049712,                   0,              0.9859,             0.98567,             0.99352,             0.78589,            0.016379,           0.0030499,                   0,           0.0048124,           0.0048124,           0.0048124
                 133,            0.020196,           0.0054346,                   0,             0.98287,             0.98651,             0.99319,             0.78389,            0.015712,            0.003025,                   0,           0.0047728,           0.0047728,           0.0047728
                 134,            0.019577,           0.0051574,                   0,             0.98855,             0.98924,             0.99408,             0.78535,            0.016311,            0.003059,                   0,           0.0047332,           0.0047332,           0.0047332
                 135,            0.019407,           0.0052376,                   0,             0.98021,              0.9934,             0.99306,             0.77763,            0.016338,           0.0030653,                   0,           0.0046936,           0.0046936,           0.0046936
                 136,            0.019849,           0.0055661,                   0,              0.9802,             0.99296,              0.9931,             0.77691,            0.015985,           0.0030787,                   0,            0.004654,            0.004654,            0.004654
                 137,            0.018522,           0.0051824,                   0,             0.98315,             0.99427,             0.99406,             0.77751,            0.015935,           0.0030518,                   0,           0.0046144,           0.0046144,           0.0046144
                 138,            0.019099,           0.0053372,                   0,             0.98193,              0.9914,             0.99257,             0.78258,            0.016212,           0.0030445,                   0,           0.0045748,           0.0045748,           0.0045748
                 139,            0.019636,           0.0051905,                   0,             0.98828,              0.9914,             0.99428,             0.78208,            0.015962,           0.0030217,                   0,           0.0045352,           0.0045352,           0.0045352
                 140,            0.019323,           0.0050857,                   0,             0.98715,             0.98854,             0.99413,             0.79351,            0.015692,           0.0029904,                   0,           0.0044956,           0.0044956,           0.0044956
                 141,            0.018976,           0.0049477,                   0,             0.98292,             0.98942,             0.99294,             0.79084,            0.015418,            0.002965,                   0,            0.004456,            0.004456,            0.004456
                 142,            0.019482,           0.0054224,                   0,             0.98744,              0.9914,             0.99453,             0.78757,            0.015733,           0.0029505,                   0,           0.0044164,           0.0044164,           0.0044164
                 143,            0.019372,            0.005221,                   0,             0.98574,             0.99045,             0.99383,             0.79839,            0.014816,             0.00294,                   0,           0.0043768,           0.0043768,           0.0043768
                 144,            0.019049,           0.0051932,                   0,             0.98574,             0.99024,             0.99301,             0.79145,            0.015672,           0.0029904,                   0,           0.0043372,           0.0043372,           0.0043372
                 145,            0.018675,           0.0052283,                   0,              0.9856,             0.99427,             0.99423,             0.78321,            0.016186,           0.0030181,                   0,           0.0042976,           0.0042976,           0.0042976
                 146,            0.018441,           0.0053644,                   0,             0.98323,             0.98854,             0.99364,             0.80819,            0.014427,           0.0029211,                   0,            0.004258,            0.004258,            0.004258
                 147,            0.019847,           0.0050762,                   0,             0.98717,             0.98567,               0.994,             0.79954,            0.014969,           0.0029694,                   0,           0.0042184,           0.0042184,           0.0042184
                 148,            0.018698,             0.00553,                   0,             0.98252,             0.98854,             0.99409,             0.79054,             0.01613,            0.003083,                   0,           0.0041788,           0.0041788,           0.0041788
